ID	bias
IBgtqEHUEcjyMriR	0
LC3zdsbACLILzBhY	2
W084H19Vniu1Z24f	2
Lcvv69hlu4J5Foc3	1
ZW7MmqXMtiJgL6jY	1
3uvVYYQUMCA28Pw3	1
8X6p6M4VA5r9TvXw	0
AmQoGb4HEMEUBgXu	2
tBj4k6h2shMRfUYZ	1
mV3v0OZGjJ27KCXt	2
dcWZcvplIXoIdBir	2
66u2LI2937Dalwrc	2
b9zZoLeBRqW3tqXh	2
bBqEKJ6ZVdBQTAO1	0
qKnIGBHS4tKogb1s	0
1yOKgxt8yGlissC5	0
yQJM4TUpqE4duUxG	1
NfAEcgdQ9e3rf57y	2
9VM96fVGniL8gtod	0
wmAx0b7OxxZH0JHG	0
PjDrH9smZ7qJKKja	2
rrw4g9satq6pfQom	2
PiFwIQaa1rSi1wjv	2
Z70MgzZN3f7lNh4m	1
vkGs3GCQc3nWo9DR	1
BDQuc4NWQU2CnG8q	0
77yuKnhdvRXLB7RR	0
6HUQfBn2CWhjbIGg	1
9qNHawJbOwpu61yb	1
YIaNZGGj5FxyyqSS	1
CCyKEOupSwu6bvrJ	0
4bzIDiEsPOaTCASF	0
di5NyEMsyqqFRXOJ	2
nUrKJe3ZWEZFgQkl	1
aXoJfAb9vnnMUEql	0
jrl68IInNIXsQEH3	2
VazdEViRZQ4ocb8V	2
7PySB2Cl59uRO09a	1
ZJoWhNko3gdkvfjA	0
OUAsbMp6LEZE2kQ0	1
qWFUWk1FMIu93FJg	0
jlMflP8qUh5lsof7	2
dovPUc5xekq7mBr5	0
b5XKvnx2oxRbKcBY	1
ffmoVC9dvMqe0FkV	0
pDGXK4ggagpVmg52	2
pGkUz8RadkLDIMre	2
TW5xoqoMMZxxTjlg	2
AehtM5dM6zA2EdOI	2
OCZoflpJy3Fni6hU	1
x2Q4gXadqZnq6wck	1
1PTC4Xj5GT4Vd2dl	2
Slu6J6gCMb5Ga6on	1
fOuVASOCmCN2W53S	0
amdJcJYRTVKCLh51	2
DxHKFAcGI9IBZFqe	1
4og7G00ht4ET5wkm	1
aQrGLgy0kSZ9npRG	0
55sTIkJfT881heFs	0
OMy3nw8imNV1qqN5	2
PAD10Yaiki8jOfJI	1
9GZxgrAYzWLuDGsD	0
1W9LO83hvibP0xF5	0
YNHihNFAAxZaJUYB	2
EyocRptTR2S5OZbf	1
pj9b7ASJBR3tVsFY	1
E0m1VzlfKbdr6EYh	2
Cqrl2sC738e4EAMz	2
FVDmjFho4ZM0Cjqv	2
9rNQEr8w9HkiexC8	2
KQptUI8BqfmzYtyJ	2
d2QnXQIwmM94HtN0	0
UidILmsK3pfQE7qL	1
L2x4FmTnFYKukyAT	0
DleWI3qzywsNqJC3	2
A2f5A2KQQVxmgEb7	0
LzCKXzfQwinbPqvl	0
LQ1FCn3XhAhWfIZs	0
2pvA6fOlhN2jGdVw	2
cbWba6IogGxgUQg2	2
1KWmyjLmmzGsnYIh	0
fYjTe8Y5vjXK74YU	0
4lLmAY8YvJmVeaj6	0
hSlkJm1ESNiSw9u6	1
llmqm99xQIsa8WSv	0
02ilXM6ugKSwlmhJ	2
Ch3FV5Kr27YmfO4Y	2
1QhjRKfD1xWnIrdZ	0
xXnovkAokSyc4Z5J	1
remaPiZsAZF6IJpn	2
DDw5Okcc6NF26VEk	2
5QHkUQzlKZdMiYQW	2
WHAkC5KxF6RBvyOw	2
bbm0d3uzl3m1LxNg	2
1oi3scXmQEH38Wmn	2
oHsVzXOyaLBDXiEk	0
OubS0EEwZgjJ3xM5	0
DnxGIbxy2OwpfmOM	0
GOWKQJt0mvpBW7K7	0
OJsjB96KXwJb576b	2
ki6Wm1R7fGkFz7t8	2
DOVgEfTYkLvCDTH0	1
NLcKlZzjLYrdlXBt	2
HOPdFYnGd1O5jWqp	1
zBUBRYrTxqPyynCx	1
2Gm2D8EgZneZXbAb	0
Gb62jjRNTrL4E2ni	0
EABMA2YEKcrgSP3c	0
JBoeR3ej81gBXtef	0
N1sCpWU8BueGBMfr	0
pOAKKB5JaB65O5fd	0
LRIIKxODwSYWIUhb	2
K95GHZ9CPcmPa94c	0
9rqLoWFukSSQ10LN	0
6xQ7gGV9fsl2tYXL	0
hnKsYh1dcSfatZP3	1
H9FuyfACOc0hrJuR	1
g6dsp3Hgx80auFvK	2
TWkSLUFpORlPqKna	0
smrCLVouF72ziDcv	2
BIyrZs3kUr8cFCXK	0
iQqHKLLfQRaR4utt	1
KBOMfTuvuCmvSGA3	2
85GRiYbQhDm9APAK	2
09IgkZtF4j2efqoo	2
rveeVMDi775dUqeQ	2
0oMkBfJr5ocglV40	0
lNAUGKUmIhtAgckI	0
Qx4HIiTisBj202sz	2
5qbx8XAwgMP7XqMy	1
PTl1GC4wyLeo09Pl	1
cQEDbCEPHuOd5sgj	0
J4uWEV4dnHtf8rbk	1
tRyicNO0wrn1ro8R	2
FkWUOqicsP9HEocR	2
AHFK99Q7k9LDYL9C	2
9iwVkG9tdaBH7rmA	1
5qY0yC8mYcA7XYW4	1
Hxh0WbJz33iyQVv5	1
vU1CNtduHNQQeuXR	2
hzJ56YorieccdqBL	1
xcxsqWkIvfLaVHWw	1
c6wmUnYatetx7vLQ	1
p6PqHElPhNSocCne	0
5imT7VydIaXfSFoC	0
VQru2O6xK9yrfYwC	1
acbo400tAtbVZl5R	2
lFyhoVjKnPdPTKkr	2
Hnjd8gu7BuP3F9FV	2
KINEgi2b1ht6d0PM	0
ncBE2TS5a1pqGPYf	1
eY7meSdKxpX0O70H	1
MtoWg4cg8M1k2OMi	1
ZH4ZF7TzoL0VLGPY	2
xC7T4LFcUhjfvvtd	2
sJwsdDQtyudc52ZP	1
s8Q2hPZJbJQS5KXX	1
sNQVM26RiKRwbabL	2
0Mq8IpTMxyWnCJ9R	0
INHhgBvLgLPQa0VD	0
Ek80LoMMgmKqS2DY	2
CBSFWYTkJEgzqDD5	1
xmhaCyzzFEz3u9sg	2
xqgUJ1LdWtOCtJoH	2
VzESxEpukuXh0RmZ	2
nKxj2P4zkoKV7M81	2
xa33GkqcJsHN1brn	2
aPxUG77OgmOVeoSq	0
LPyVvjOLFrWsw7Oa	2
yxd87B1oSPvEqUAI	1
wsG7PDJheftkKVdP	2
PVlrFV1siEpa7bnO	0
f8q4uVR4HigJQSrK	2
YpkMInDvSMNeEqLL	2
IVnKbHNDB8ka2Qa4	1
ruckLBz6tOeCwIt2	1
EbPw3TWpszPpPRUB	2
4KXUnJDfKC1ZCXYO	1
vgIxopaoZBehCMcU	2
NVTWoBVmWeZ0ZDOs	0
vqlrcd7wWSNAmJjC	2
B4WnERCCNM0GKzQU	1
L4lLnnSRMWfhIoYm	2
jKJRFWrBdbJkdHqa	2
80F2VQ08v8adqUMG	2
1pCUYmZi6fSkRLIv	2
Y7Xys5WyRUoZY8mB	1
f4KiASmZJxtXRBkh	1
GJHvfkqXL1cQxpTy	0
aKcFQbLZzvDVAk6K	0
hV9qk5HIwqYuhlpJ	2
BqYpMxrnQz1iq0CS	2
RfxkQcQMnqMs5BJd	0
3BokxkwU90ou5FMz	0
g97wucTjpXA7nFZn	1
7OkD4LbpVSO4XFdt	0
szGKpDlJt3cskvIx	2
4as7cJroNwCulER6	1
9LKVCwRoHFRxp0QC	2
ISvTsMYe9cAV7NHZ	2
YzyIea1aj4cpzVBz	2
kyxuJRR3jlbqmrIZ	0
utR43sqOwEKFGMjt	0
IYCrmgp3jfKW4YvL	0
ICL2LNgefTkywyjg	1
uHUdmLGKduqKNa5W	0
LUihGd2pOzXJoX5G	2
x324xJyAjGE52WSL	1
aJhydAlxWZVIde1G	2
XWQQCnfaIjfPc7Zg	2
WU63Va9cBWbZPdeO	2
8zPOnBrl2MYmt8Lx	1
5uibtxtgy0ys6Iu0	0
J65akNmiQ9Tt8YVC	0
QeykmQjPAH4Hlzxu	0
UNjepYkVtPavk22W	1
rk21giyqjExP2pQR	0
vJIistvEc0HTKFZy	2
zY7txoul7Cv4aiBR	1
EwXKhbMn6uTwB7CX	1
tBR0GkqCbGzBY3uP	2
TS3a0jSdjT4ySp9w	2
7MqWyMWdFxPMY2t3	2
ctKdyJ5SSBqpAkEY	1
BKX4gmfu836b1sJq	1
lkNhpB32CaddEMlq	2
MbdAiy0VeQ6satmt	1
t452q0NKhSwHfG5B	2
QA0UukPdCsOGRNRN	0
cvXnLZrlJDjRw7bW	1
asBk3JLZpnrUT2kq	2
yZfvZCef7eK3Fg4G	2
y0M3NviiqQRsTE4Q	2
AxPaRdsY6QOrufLM	0
BwBTER6Hz1uHxbpt	0
hAqZZ7bw0vukoKfE	2
3sx7QCMT6iySOpxp	1
WieDJ9E0bcgX4FGk	0
mmny7FuKcoBxrp43	2
KDJFhX9GbCn6KwTZ	1
7Cxn5omH5tKUBbOO	2
myq27syQFDmyk422	2
NWjtXP5WXpVmswnT	2
iluaCP26ct3DyAAe	0
ukZjsQUdEb7TeLUh	2
v7adp7Wk0HSE90mw	2
NWPozPKJl8Fkmgde	0
6sjrDoOwhuA5l2PC	2
wS0CT5YVsL2uuoc8	0
pUsXzsUBjmxhhBFU	1
VE0o5hPv7cVjpVXN	2
G3oBvqBjMoQIS9xs	0
0fCbw1BId06K3H5S	0
MVcVgpnbEwsqgKxd	0
x2TYXsY4bb8jqaNH	1
V7YtsXE52yRiFZiK	0
0kObSS3fNT112H9x	0
KIxRvVUpcGKrBCEE	0
e3ZU5kdmKQJjZY00	1
avWaDedLns39PtqW	2
q1XXVS4ErHFpMFJ5	0
blzgGANObcFqKWg4	0
DZes5iw6gng7PTrY	0
ehFc4bhUDk9UGdrp	1
alVGBJ9gR1qhWRhw	2
hPD7AyoRWNngWQJa	1
gnxSFYHLoUP80zxR	2
Euqsn916sY2YGs5X	1
VhBpv3XbhBXN0Rox	1
W7iHmZxIoiBWbwsx	2
WVIb5PVJLDcC1fJv	2
jTMXt6bU0zkm3FhY	1
CZukmc2NdUfA2IDR	0
LWTGonjIZpYMFdaL	0
95XCsIVKJ0JElAeN	0
TIRSUMVxDDbajLqP	0
trzd414iZbqxI7E3	2
pvSJRKAzeU6SCraN	1
rn5wn9l2g1FOTJOe	1
rYthYQHQCOXAUqNE	1
OOwQ0QiY4T7oDQ9P	0
LtmtrftT46VxoKQB	0
uPCvxtSqsdsdowYR	0
o9O59XQslELvD2Eq	2
LWyRMaMZi0yn3GEZ	1
RsqBzNSHwU1M7bLW	2
3grm1inQu7WjgNrJ	2
ZQUzwlLee4GLaKWu	1
RPZEkIU7CVwhzhGT	1
14BUiRWr7DnCMpZF	0
i9I4CwVlFgphHlvp	0
sNs8L4wjfy08famB	0
g0mE8wyHlayU1ReF	1
fkkguWAOeYNPQ4nS	0
nGBZSOjpaOQ3Ph8v	1
NrUDTuYFc57qhsBp	0
xALQ2qMDGm6YbbDW	2
tLC4gHEBya2MpXNe	1
OCzq13rJMeVZr9VP	1
vmQR2WBE3EAgRILH	2
eClTqXODxjruqtef	0
euacemKZRlt7Lrv4	0
1h8kxNnxe1utx5hL	1
2DdPw9dOqHKsfy0K	2
oIbxJ1MuxSECff5j	0
K3cCkc8jWEgH1fyX	1
TlchTwyQxxjSsyFc	2
miJvgvy17ANSLP1o	1
nOgTIdLtXwVUxscH	1
tQGI4ANI0yfnNmHK	0
N7tQgSDw154AKw3N	2
UDp2zRxqJqIUgNao	0
X68taD2BQ3dsQ2Lw	0
BoF1nM9JUWTNNSqF	2
0bOCUgEHxmeyNnLd	1
NS4FxBZqAekf0MKL	1
Vd8q2zt7w0PCfPfq	0
ZFtbCNRXfPOZqJna	2
hvTo8uSOxeObub8M	1
t5fpB1HLnPK785Ws	1
WAoAATaVSWAdlnmu	0
4TNF4sFMlBjHT8TA	2
fO5d8ivIMgK2n8OD	1
8ZjGqXHQsV9nolPz	2
3Cp4fhXPYugbEJoI	1
c7FRW4PMSpm63ToR	0
1VOz3azNm3QClHc6	2
uSTIh6AtvRec4fE6	2
16und1vxhNfT5qof	2
ZkcJyunGxkw3HeuC	0
1rYwxqvQ9pwN4sGZ	0
pqffI52SPn1TxOWV	0
3gKUC0RkAUJFYl0R	2
eB4ZmyTU5bENBcIw	1
ho3yAo5PgP4ZIGCp	0
IirtscBKkXuhlgYd	1
pTgQjpamyuG6XxVE	2
3U1eS04CHvQa3f84	1
4JKjcFLuGxSYmFlu	2
1lWOHjYXpxEOZ3lS	2
gJtTtbBTXUIK0WUb	0
I2mIUocVEO8DZZat	0
pepiqWsmCj7bHMwE	1
Vnl9V5dFdPa58OeW	2
yBYkIepI36XRP8c1	1
NQpCBA5UMqnkHmDT	1
F34ZfrM8Enn6y6ur	2
eCSaVAkqjt2cb7xZ	2
2oui5gjiUEugPAfI	1
iLQ1yqftny12APo4	1
6mv4Qgnb3bjug8sb	2
foJ8Wr0sOrmbi9ed	2
hvA6QNsa66M050nQ	2
6xJHQAa5RZ5HPv29	0
GqjYpeNYB2ELk88V	2
6jd0f2QFuPlnQZPU	2
O8pE3Y2Ynp6Mm586	1
KWH3CBTfrZ1U7vF0	1
um5j4ZvfAT6fs9WS	1
LyMOK6NV9K0y4mba	0
GlncjVVhcmvJvkc9	0
CEfzufFFGeU0x381	2
RuOBuefPXD8dv3ig	1
ptfg66ANz5ni6n1D	0
GQLeX2YmW4Lor1Dr	2
KajJMqBwsv5gHQLA	1
7bxesrROe4Zea1D4	0
Y26h43ZSaDOVl6Ii	1
TZVFaNx4C0ylbvJd	0
zt0WI952L6fp3Q9f	1
Rke8besWOCHjlKyh	0
7DcnpSjj4H5iGCqQ	0
A3a6KQd4PS44o3Jx	2
iXdEXs8O1d3KLtxv	0
TIOxtJBFUKEjOcX3	2
a9KWxYjvPGCnX977	1
DOqwvvdmd3rPHvJT	0
kNk79ogEUGbY1vwR	1
tkeXc9FzJiKud16V	2
cQAviKZ6UXY5VVnZ	1
BJ8Ci7QNNluLfy25	1
cUpHGnGOOewO5O3W	1
tkZOMh6Kjjbw2emF	0
sWPnC8Tk34Zd6TUz	1
D6cGb0OgUzB78Bsj	0
5RZhqA9fw72OJx10	1
t4w21DWqG5gxxBAb	0
lKaF3QuoVpnqGUl4	0
YAMtZLPlHTinmFBy	1
JCTrXHHrFYA8bdt2	2
kdQXSwErFTml8Prf	1
fJBXH2mbbhp3QIr5	1
GFDsD1yMUsaYxj6E	2
KPqgse3eutvz3ulA	1
VbD3OSP0lm3Z0omz	1
nKmNBidtVxFRTwmU	1
JLVrGGpyBgYZ41Gb	1
rLNppalscV2GYc9X	0
Zmr1H3FycaO2n5Lp	0
kwiQ6D4EFUtG2ElK	1
CqreMypxZqhn3iQc	2
Q10IvxlNGmpM611D	2
FkVur9lSWp25dopG	1
YWhH5dUpOJtgBS29	0
KU6errx0tNjQpDVP	2
4TOG5Q84iOcx4Bys	0
1s2eSwKrEAg0z4qF	1
kP0P5ewWjqKFcVLx	0
TgePnoigxHfkAEPx	2
Z11PuMCA31LTuVqJ	2
50m0vyu8ctMv2BDX	0
9L3o2Q7GgRB1YbTH	1
OgUDMuQ22c4LAY9P	2
1GGRE074eQebhH4w	0
BTwJRLZT4DHkW1w7	1
X5xnc3fqNce2pSHu	2
m9XPXN0Ob29gEbJg	0
ut90yKrwldXepYzA	2
ORqSO5jnnRo20lLQ	2
sFLuYySLjQBXqWYz	0
YMaZplpTQWP2Uyvs	2
91CcD7DJDeiRRqW2	0
MU48y3AyIZIO2san	0
sRUd5TZQdvjhT0NR	1
wZjy5od15Zu2qqtr	2
SFypa4b8N34smxRd	1
Mt1yG8jYFCtiOSLp	0
lcrSfyl3oYmYe0ux	0
KCGOH1WS9bbL6nbA	0
Nv9vteaF6CE1ILMl	1
ugetNa0YISEcZbaO	0
0F2YHZGDAqOB5Ogn	2
WW7DVOI5YyX5LeP4	2
KeEo5T9fZ9N6XAzL	2
SZEbogG6GDfiuKpG	0
JOfqVFP3nBjiuTWp	2
uDMupjC09TH87HQ9	1
aWsFfK1oSj5LDZwD	1
qZDlMfIxj8VcBWVW	1
X3RcQeZQoI4jnIwH	0
SruypIXjJupPii5P	2
IEcfwpCtlSrTDS27	0
2DYRi7fyH4rhPkTa	2
VGEsBT3dOPv9Bmcr	2
Ex7tNfjowDDnz71K	1
uVPWFBJp0BODrR41	1
5X6GpVmjW7vc22Nq	1
xyBkDqVoKvAjJKAf	0
8lrABTR9jxCB7J2N	2
7Pw48Qwuc2PNtku4	0
oQvYHZM0jBlAAIo9	2
6DzjOJfN7laGUNyJ	2
Yjbr7KkMzHGapYJY	1
ZC8NllNgHHjsxbzZ	1
VOvGKQ2gawPzvhny	2
LYrnCT2opDZ1gUkI	2
vCBj5HBmRzNoeVia	2
BI4r6RVYiyEcfUdL	0
TVmsX8yKtKx7XTlp	1
8XUsrGZpDyfmYCjY	2
Kov2IM9QiOLcLGIs	0
dwqKo3v4ep5Lf801	0
4b1KtVHnvhhVBDWW	2
YNEa0U6ioW9XnTXu	2
o4kUCJSjBC62LdQ1	0
unAJX62FPzTPsFRL	1
5C6juMgDapJaWxl0	1
LsXB5ztQvRv7pPRm	1
jxGfEOFcwrxLv3Fo	0
FRnVnrqqkKKAR1pJ	1
YXxsUtJSiPFX8LeA	0
g4T2jHQ36YfaAkhI	2
c7snElIBFCNHWxf9	0
B1BSUiko3yWJKOVy	1
gzbtSIxuH6C3Ubp1	0
iJk4YbA3HagFqoTX	2
EmZkeAa9ru3P9rGD	2
6Hhel9nkgEELVDqp	2
5wK2B33K00PcaggA	0
EwgFVfiJtvhnV95s	1
IBKn9YKh7Vdryr1f	1
2SuvifiabSkkUJrd	2
GCFRsa7ejCjazqHC	0
RISoLxWLjiLrt6F7	1
SGxzCJYMK5wx7lAD	0
vpAL2jyRzfCQS9AR	0
kY5Hxs7kNMpiUd5m	0
a90ISBfk6OA4ZfiT	0
2cFKabTsaGRKYKfW	2
7PiJ6V9QFWVdzHYM	0
hjyyeVObzXhAllSW	0
uB8scpL954fNCVtR	1
hJCpkJoNTirenbSC	2
LI9kWrOEAIQ3X8zc	2
Mlp3tW3i6pKOQBbD	0
TgatYUNBynSrYCUR	0
hL7NUgjic3biFYcl	1
gcwpxBLjRPdxOF5p	0
tEdMatyVhMfZ3PLb	2
RX9cwhjC17jq0M2L	1
noxshHF8TLg0GTER	1
BMSkwVyJGaU2I5It	2
AxAkWerWPEoxBa25	2
cd46tQSIF7q0FdlF	1
kIxpfE3HT95Yxekq	2
KYn0dclxTPcjgIDM	0
xNK5Ig0EK2w9l5L3	0
LutWlAMV2ltawgtl	0
SKGDdoNE6Ht8MzyE	2
Ib1PjJqBwhwLDlQp	0
rbSda2lL0BE0b0dY	0
Rxo86vSg7nV6ZgaR	2
F1tNEeO45ButBUSV	1
zpl5F7aYHooWD20n	1
PIiobP7P2aA12vMC	1
BJ6H2nwU0EursTks	1
lEFBL7cVmJ2Z5JGx	0
WXNaeDAirC1LOCWh	1
Zw22H7KlIYysPEYl	2
GgpMFqcOT8bzXEkn	1
LF0X3OSKsAhpkACN	2
nAeIxSNwKWDYLPdj	2
8Vn0ntfDzPNxwBPN	1
DXOh5qzna1k06nr0	2
dY0YxNTgSSiGcfuQ	1
YnYoXogzRZ5gPNC5	0
wiHitMi8TuU3YNXQ	2
L3FSOqzpavTj26Wc	2
GAC4FmOAYrNk4R7j	2
P3uMxW8g7lTGYFiC	0
O8VrfxP3MIH7N8oZ	2
N9kVUXmf7ExqjBYW	2
GAPI9VZdd8tOyK3a	0
8xSA0h1Q4yq0yxyv	1
VzQ0xxS4F2Vh1pDD	2
2XdgiZrivENIso4h	0
6n9IX2eKCMLGuUAd	2
WM6AA3L3A98AL9Es	2
j4DUUYzPRKmyX3hI	2
S1L9WPheB2ix1yvX	1
iLCKxTmcwzRDUVCD	1
zOZqmcv1FMbXVof1	2
p0ENQ2KuYvXGZhIb	2
hve5R80MDoSKjGQt	0
G3YC134Idl50RzQp	0
UwNV7TNMK310hAvO	0
SijvYAVRIEDu3k1T	1
lFrZIEwzKvETW6p7	1
NtLhYDWCVJYsaFWt	0
R7aZR1T7Z5Swqe4D	2
yLbDw7zb7MQ1Ul40	1
KwN8yNiVm2KkvKch	2
T77jQyEMR7ZHHMRG	0
d9Y6Lx3OO9mRFYxl	1
AcOLCWbHBbxWtp5Z	2
H2qn8yC4jyyZbuK7	2
mcRtIRBTAqtlCxdi	1
nzDxMT2smeb5aYwq	1
lZ04nBDicB74nHhn	1
jX5booJfXiINaqMZ	1
tWHTitFZoNKOJwz3	2
Qt4MPfgW0VW3vKvS	0
bUI7OaQc6833syT5	0
MWoQHDloVfXvDmkQ	0
fkJ1ObtLupwfLBeH	2
14pqd9Wd0z53zfTx	0
nokYOhBuEAcn2hrN	0
lR7uQikZQZgIOYo8	1
ABqt3M8h3rpNxXSJ	2
ajuky5GorCc2hE1K	0
iAgkSUylATuujkKH	2
bktUUQiWjI4ZMwvb	1
nZTZYXdtUreZdEXW	1
WlYshbW6NsdBcsCy	0
QGBwsVAlSFqfL6Qk	2
c85TgVMJo66c9GqN	1
P5Vh5klan8KmZV2M	2
Zrzwm6HtBzmC9Kfi	1
86uWsqsvBJt4kA6r	1
aGyxRkTOYFTk3KFX	1
1Fbo8sE5JbmhIkif	1
gIzngw3TMi0ZgYHF	2
hWK4F61QvQRcJqiB	1
tIysOXhFKn5dH0hv	0
o3gnM47yuCHbt0tK	0
wkOsZz6iUIesLsjP	0
PAvTMr7MbAKTNnud	0
Mz5wfhKzKCtB3vU3	0
wUy2V41nsNfavaen	2
buB2cL7bmM9ApXHl	0
puMpzBfPfSo6Dhxi	2
kpVr1pJPYoxVgoH1	2
rgDWAsFwtok5vYE2	2
9w5orxgRCRyepwKU	2
QfyqzA1XCNWHLK0n	0
ib6dfsE6Mn2Wt7lL	2
poPJKM52pjER6GUb	0
Ick1w3jjX3G7bB9a	1
5YgPBwbbgAqZMxr4	1
EEKyk1PY0sDM1fcR	1
J1Af24J9w3kspDTD	2
dednafkoIzewyYud	0
KuoH2xLhnX9jFLsP	1
BmBzIErdPinZbAUG	2
pjm8F3OebUdDO70o	0
ynRyUXJLouZJWbGw	2
to8fZ1EWctN6Gp2q	0
2XRSB8iv75pJuUF9	0
JaTuLSoHBPTbly4t	1
3dZl3SiBkbucHpVQ	2
yZqloL8398xk6Irw	2
abqvxPLPfdyuTUhZ	2
3brqDYyXPARo3xgq	1
rc6wfXt01OYMQC1e	2
6q82qWVvAHJdXL5e	1
pDpudlGopXpjnaCN	2
qdanR2EfYkm0gciG	0
SnN11tolA858gm5O	0
qQcjvbrq6gbLmteO	1
MEBBDj1hvr4zJvl7	0
Tlc2ZXble8A5G9BH	0
J5kRyTcTYntKgBrH	2
kuMpX2Lfjhe3hXba	2
ksMnxwF8s67K566f	2
2nfCt9nKtlVAnCSD	1
R58IQULimqb9UpbI	2
HGMSUq1fPtMSjwb5	1
Sf3jsdaTYbVLK3jD	2
ScGV0DnTlXEDE5hY	1
ppM1C7t1kaOtSNjc	1
BeHNkaNdH735uI8r	1
MN9jDwPEVr1AmECW	0
UDPwkWeVhYHfo9Jj	1
m9QYS6JtE5dqZz0c	0
G4wjhWTBGkHUIi28	0
TfyIdd2suIJJKRj6	0
fAZ5K2bNT5X6sz8R	0
sDRyGLL8f2Fc7ShH	0
wuMBQX0elimRPd6x	1
Cl4bNmHQoHVjEfug	0
ESU75zUEQN1wA7Eg	1
ZFj6vYGiza369EiB	2
MHh3TTdN8axjEm6k	2
3EHTnRcL4ObFCHXA	2
P8SwD2JHEbM5ZwyX	1
YOmLtFGqr9kwvVUk	0
Q5uXqNrWEI1XyOQX	2
kZmX9HWXgSo8nYEs	1
gGuMBcEz9BDBANKs	0
GVqiGhCph7GQyqnP	1
nQ0jrlQ8SURJCvfR	2
4wD54bmJtJOkxwZA	2
Bb2srxUehDh8Sn6t	1
Hw21C7sdEIkLkV6J	2
BfqPlzaokKR5nZmi	1
0we1gRnJ1sVtcvhL	0
jd5dCvof84Z0laEo	2
jFbXuxdzykk9wqUV	1
WbLVjsZHvvoXVKKe	0
gq1TBWhp9xbInxao	2
d9rQjpIV26togxdR	1
FFBUzdepjLPyYESn	1
Xvcoc7dhrmfcT7uV	2
VV0BkYA9B2Jeb9W0	2
sqdslBn2J23h6IIf	1
BJbb4lM117cMkTJs	2
D4kFLxBL0Fs0ahBe	0
Wk6n8NDI6z48pCzX	2
VPS1LXeunzGJdtkw	1
3vEAHxSLgFDavHiV	2
ysfZ5XVS8Fbsw0mY	2
QuIUBibgqbCCwT5R	0
Pea9nOvnt8n7V8pO	0
PZtqxUrxIAPpIEUD	1
