ID	bias
zl7kc7EmAyIdUMIo	2
xpbjYTJYPdlw6HmJ	1
k4SGI3GXarnz5dJl	0
0jIpietfnrPRGHKQ	1
zMlSt7dyJvanHqJq	0
U6iHSKFoakUNZjTQ	2
VBrq0w0DpCDU7f2E	1
wI30oK6qlrQcXRhs	2
gI0Icj3TyXLTjvV4	0
Ew9pTFef0aQtY1TK	0
rr8ZhnSLaOCfvaYO	0
iW8cKUb6YQSTF3Ha	2
Ibe4W5BbLDLGSIDr	1
ljUbDm7WRuuUF9SA	2
L5UAgiWdUtyr84ux	0
FYmISHKx8KE86VGo	0
mRDNv95vn8yuUyKZ	2
cpzJVyzayRjMRXyd	1
EfGQ8JApfFcQMMKn	2
R9QyueOUuro8DYRF	2
TtaIvVNPOhXEuLP0	2
xR02St5cwGkvGyjo	1
0G2eYASADwpfyHqr	0
c4Q7VdCXgBc1b1ji	1
it4dT05QdVQwGfRi	0
tAkqHSkoTnxl7Xde	1
pY9gh85tjPIwhwYK	0
qnP93U7T3qLkR70k	1
Cq6aDbqpddW4bpNK	2
UrjIMRgdKXwchFCv	2
LIBFXg5QI7LeRjbL	0
G9zhrtrz6WAW1fsg	2
DrYRcdw3vSj9HVv4	0
OZYlf2P9p4x0Axol	2
yvMN6kw5v0zcChQy	2
lH301vd4wD043G9H	1
Ud39cawJUbmeh3r9	1
LLvNzuwWiVHrhZ6v	1
B3sRWJt3WDFQCJX9	2
hEVo3oobUaUiIbZ5	0
BHswZo7iccSDkcRP	0
tEylfas2z4PDccwp	1
OYWHI9UELw98S3Ak	0
xUKaB9XCg39su5lR	2
JsQskZB9slTV0wgS	2
YoeT2Vo6VKecjOYL	2
NqdNpzGyiF8f6mPt	0
qt7DRP8bsNhFBgFY	1
sBZX9ldQXmTSKEhx	0
2rXBwck3LinifYsg	0
1fmMwyw2zehf3Wvf	1
5GL1gBP2Dj4zqvi6	2
nyRFbn0MdkMzEpWQ	2
olM0bRtsmtkfHhyV	2
xMzKAHx2vPj3gWVX	0
DIRx9B4sKjihKMqw	2
xXbGtTrBSE3RC75K	1
HCuMBvRARiTc4LRf	1
zhg1iHqC4ZgzdOmB	2
yyThTgcjAn7dvUSX	2
fGSYaCARd8pxlxPS	1
yIecZtab5CvSA9o7	2
pblJqo3nW0T7XwbS	1
oMNLHGATBUT2NyEk	2
8YKjC3wlNqF5gwZF	2
7R7HbgJeVQ3OrMzV	0
DiqrIyM2yQRzIKBq	1
Kwz2QMkxOiFKInmg	0
YNymmNLgDzZEI5lf	2
os3YZys9OQPo6w2E	2
mdDEZd0hIrLbmw3x	1
2b6dV0HIoOjN5xFE	2
hnkjbtAdAhUUMXbL	2
owBbeU3QVNj2pCfO	0
Xlmmi6OV63pq6DJk	0
F2pQHPnsfe7oONNz	2
OtI5GItcZ8LpqdyR	2
1p5t9bgofLnaQIYQ	0
Y1Py5n2qLieipui5	0
aHzN1c1J78AleZbL	2
XdLweldFj7Rk36T5	2
BaOc2V06t24xsFho	1
R8qQK2jjoJYN2DfW	2
n5XARqOQawsLZzfP	0
fzitZSIVrYySl1ry	1
s0M936MtOy1YlxID	0
iqdDNgVZyE3IVmFR	2
TJnK3bieTERPMBTF	2
wplT8GUU3zqPDw4w	0
NuQkifNQdllu0Kac	2
IOXHcattFKdMPi2A	0
rinZWTRKEpKIWpum	0
HoNRscWEefv9Ji64	0
Bbeu27L7UKB9e2Tb	0
VKEeTpX9EU6b1VS6	0
1PD705LJlmmLjwEA	1
Bi4osp92NW25BFqd	2
BEQJ3w9g3wt5O4H8	1
AxAkWerWPEoxBa25	2
OpJ78j70Gd4otd74	1
JfbYOxnkIWzlanF5	2
jRnPUKrWzr7xNMJ2	2
1sHSkHmflhazVyib	0
7fPdHn2zz6VPh8WR	2
iX7RWLZxyzzUHfLJ	0
NF4ZH4OrQVBHYAHv	1
Zykhf2jE5OgCoRQq	1
oqNbMkxxTzjqVRve	2
Ycb9WZ1tUenumcbJ	2
Nzam4nHy4cRPx9bV	1
zZOCUccwCgfByySj	2
iaskCC7P73M1RxNb	0
pJVEj3InZqAIbXMM	1
qvandgLCinuXt43P	1
sm5HmdJI9dk6qc9J	2
aGWoNnmcWVrUagcU	1
hpwTLNnRhjL07bT3	1
Rxp8labFSKwOIa8A	0
P8TeCCx0o1sujjvU	0
artqAeKsRskMhaqr	2
9WozjMY3s1GhiUyZ	0
9rqLoWFukSSQ10LN	0
o10O4wBhLuUc9wJy	0
jEneRbaoFxk4oZ4p	0
OcWElX6beB3GKJZU	2
f7tiuyIxnGqV0KZQ	0
5zyWYCZXuQSD3rCI	2
ShviR2yrcmirZahY	0
oGju5YIQFAmt6Zbp	2
73FaHD1SwWDGFsl9	2
mx1g0yKPZN2WIGW6	1
HbNSx7jQIapwuW1b	1
mys5n66hHOdbMDKP	2
KL4182uKdzZVDCbd	2
AOSTr4X4DLLWzFBA	0
ZZO2oqjdIfYc7iEO	2
